file,line,severity,category,id,message,snippet,suggestion,owasp,cwe,detected_by
samples/js\app.js,17,CRITICAL,Code Injection,JS-EVAL-TAINT-001,Use of eval() can lead to code injection; | eval() detected via AST; allows arbitrary code execution; | eval() with user input → Remote Code Execution,eval(req.query.code); // code injection,Avoid eval(); use JSON; parse or pre-defined function maps; | Avoid eval(); parse or predefined safe alternatives; parse or safe parsers,A03:2021-Injection,,AST+Regex
samples/js\app.js,12,CRITICAL,code-execution,js-child-process-exec,Use of exec may allow command injection if input is not sanitized; | Use of child_process; exec() with user input may allow remote command execution,child_process.exec('ls ' + req.query.dir); // command injection,Use safer spawn with arg arrays; validate/whitelist inputs; | Use safer alternatives like execFile with strict input validation,"A03:2021 – Injection,A03:2021-Injection",,Regex
samples/js\app.js,28,HIGH,Cross-Site Scripting,JS-XSS-001,Possible DOM-based XSS via unsafe sink,document.body.innerHTML = req.query.html; // XSS in client-side route (demo),Use textContent instead of innerHTML; sanitize/encode inputs,A03:2021-Injection,,Regex
samples/js\app.js,7,HIGH,Dangerous Function,JS-TIMEOUT-AST-001,Weak hash algorithm used; | setTimeout called with a string → dynamic code execution like eval(); | setInterval called with a string → dynamic code execution like eval(),const h = crypto.createHash('md5').update(req.query.q || 'x').digest('hex');,Use SHA-256/512 or password hashing like bcrypt/argon2; | Pass a function reference instead of a string,"A02:2021-Cryptographic Failures,A03:2021-Injection",,AST+Regex
samples/js\app.js,1,HIGH,Dangerous Function,JS-TIMEOUT-AST-001,setTimeout called with a string → dynamic code execution like eval(); | setInterval called with a string → dynamic code execution like eval(),const express = require('express');,Pass a function reference instead of a string; | Pass a function reference instead of a string,A03:2021-Injection,,AST
samples/js\app.js,3,HIGH,Dangerous Function,JS-TIMEOUT-AST-001,setTimeout called with a string → dynamic code execution like eval(); | setInterval called with a string → dynamic code execution like eval(),const crypto = require('crypto');,Pass a function reference instead of a string; | Pass a function reference instead of a string,A03:2021-Injection,,AST
samples/js\app.js,4,HIGH,Dangerous Function,JS-TIMEOUT-AST-001,setTimeout called with a string → dynamic code execution like eval(); | setInterval called with a string → dynamic code execution like eval(),const child_process = require('child_process');,Pass a function reference instead of a string; | Pass a function reference instead of a string,A03:2021-Injection,,AST
samples/js\app.js,6,HIGH,Dangerous Function,JS-TIMEOUT-AST-001,setTimeout called with a string → dynamic code execution like eval(); | setInterval called with a string → dynamic code execution like eval(),"app.get('/hash', (req, res) => {",Pass a function reference instead of a string; | Pass a function reference instead of a string,A03:2021-Injection,,AST
samples/js\app.js,11,HIGH,Dangerous Function,JS-TIMEOUT-AST-001,setTimeout called with a string → dynamic code execution like eval(); | setInterval called with a string → dynamic code execution like eval(),"app.get('/run', (req, res) => {",Pass a function reference instead of a string; | Pass a function reference instead of a string,A03:2021-Injection,,AST
samples/js\app.js,13,HIGH,Dangerous Function,JS-TIMEOUT-AST-001,setTimeout called with a string → dynamic code execution like eval(); | setInterval called with a string → dynamic code execution like eval(),"res.send(""ok"");",Pass a function reference instead of a string; | Pass a function reference instead of a string,A03:2021-Injection,,AST
samples/js\app.js,16,HIGH,Dangerous Function,JS-TIMEOUT-AST-001,setTimeout called with a string → dynamic code execution like eval(); | setInterval called with a string → dynamic code execution like eval(),"app.get('/eval', (req, res) => {",Pass a function reference instead of a string; | Pass a function reference instead of a string,A03:2021-Injection,,AST
samples/js\app.js,18,HIGH,Dangerous Function,JS-TIMEOUT-AST-001,setTimeout called with a string → dynamic code execution like eval(); | setInterval called with a string → dynamic code execution like eval(),"res.send(""done"");",Pass a function reference instead of a string; | Pass a function reference instead of a string,A03:2021-Injection,,AST
samples/js\app.js,21,HIGH,Dangerous Function,JS-TIMEOUT-AST-001,setTimeout called with a string → dynamic code execution like eval(); | setInterval called with a string → dynamic code execution like eval(),"app.get('/search', (req, res) => {",Pass a function reference instead of a string; | Pass a function reference instead of a string,A03:2021-Injection,,AST
samples/js\app.js,24,HIGH,Dangerous Function,JS-TIMEOUT-AST-001,setTimeout called with a string → dynamic code execution like eval(); | setInterval called with a string → dynamic code execution like eval(),"res.send(""searching"");",Pass a function reference instead of a string; | Pass a function reference instead of a string,A03:2021-Injection,,AST
samples/js\app.js,27,HIGH,Dangerous Function,JS-TIMEOUT-AST-001,setTimeout called with a string → dynamic code execution like eval(); | setInterval called with a string → dynamic code execution like eval(),"app.get('/xss', (req, res) => {",Pass a function reference instead of a string; | Pass a function reference instead of a string,A03:2021-Injection,,AST
samples/js\app.js,29,HIGH,Dangerous Function,JS-TIMEOUT-AST-001,setTimeout called with a string → dynamic code execution like eval(); | setInterval called with a string → dynamic code execution like eval(),"res.send(""done"");",Pass a function reference instead of a string; | Pass a function reference instead of a string,A03:2021-Injection,,AST
samples/js\app2.js,6,HIGH,Dangerous Function,JS-TIMEOUT-AST-001,Console logging detected | setTimeout called with a string → dynamic code execution like eval(); | setInterval called with a string → dynamic code execution like eval(),"console.log(""Admin section visible!""); // BAD: client-side auth check",Remove console statements in production; | Pass a function reference instead of a string,"A03:2021-Injection,A09:2021-Security Logging and Monitoring Failures",CWE-200,AST+Regex
samples/js\app2.js,32,HIGH,Dangerous Function,JS-TIMEOUT-AST-001,Console logging detected | setTimeout called with a string → dynamic code execution like eval(); | setInterval called with a string → dynamic code execution like eval(),"console.log(""Debug: reached end of app2.js"");",Remove console statements in production; | Pass a function reference instead of a string,"A03:2021-Injection,A09:2021-Security Logging and Monitoring Failures",CWE-200,AST+Regex
samples/js\app2.js,5,MEDIUM,Broken Access Control,JS-CLIENT-AUTH-001,Authorization logic found in client-side code; This can be bypassed,"if (user.role === ""admin"") {",Do not rely on client-side authorization checks,A01:2021-Broken Access Control,,Regex
samples/js\app2.js,13,HIGH,Insecure Design,JS-DISABLE-CSP-001,CSP with unsafe-inline detected; This weakens XSS protection,"const cspHeader = ""Content-Security-Policy: default-src 'self' 'unsafe-inline'"";",Avoid unsafe-inline; use nonces or hashes in CSP,A04:2021-Insecure Design,,Regex
samples/js\app2.js,19,MEDIUM,Outdated Components,JS-JQUERY-OLD-001,Old jQuery version detected; Likely vulnerable to XSS,"const jqueryVer = ""jquery-1.12.4.min.js"";",Upgrade to latest jQuery version,A06:2021-Vulnerable and Outdated Components,,Regex
